Date,Open,High,Low,Close,Adj Close,Volume
01-09-1999,3.6,3.65,3.51,3.65,2.601328,69500
02-09-1999,3.6,3.64,3.56,3.62,2.579947,58000
03-09-1999,3.6,3.6,3.56,3.58,2.551439,32000
06-09-1999,3.6,3.65,3.55,3.61,2.572819,88000
07-09-1999,3.5,3.69,3.5,3.57,2.544312,40000
08-09-1999,3.6,3.6,3.56,3.56,2.537185,14500
09-09-1999,3.55,3.65,3.54,3.59,2.558566,59500
10-09-1999,3.6,3.66,3.6,3.61,2.572819,54500
13-09-1999,3.61,3.61,3.61,3.61,2.572819,0
14-09-1999,3.7,3.7,3.6,3.6,2.565692,17000
15-09-1999,3.6,3.6,3.56,3.6,2.565692,16500
16-09-1999,3.56,3.61,3.56,3.57,2.544312,32000
17-09-1999,3.56,3.6,3.55,3.58,2.551439,52500
20-09-1999,3.6,3.66,3.56,3.56,2.537185,36500
21-09-1999,3.59,3.6,3.5,3.55,2.530058,18000
22-09-1999,3.5,3.6,3.5,3.51,2.501551,28000
23-09-1999,3.59,3.59,3.5,3.51,2.501551,30500
24-09-1999,3.5,3.55,3.4,3.43,2.444535,69500
27-09-1999,3.41,3.5,3.4,3.42,2.437408,34000
28-09-1999,3.4,3.49,3.4,3.47,2.473042,47500
29-09-1999,3.5,3.57,3.42,3.5,2.494423,82000
30-09-1999,3.45,3.5,3.43,3.48,2.48017,31500
01-10-1999,3.42,3.46,3.4,3.45,2.458789,93000
04-10-1999,3.5,3.5,3.41,3.49,2.487297,42000
05-10-1999,3.41,3.5,3.41,3.49,2.487297,39500
06-10-1999,3.5,3.65,3.42,3.52,2.508678,153500
07-10-1999,3.7,3.75,3.56,3.57,2.544312,98500
08-10-1999,3.6,3.6,3.45,3.45,2.458789,104500
11-10-1999,3.9,3.99,3.58,3.6,2.565692,236500
12-10-1999,3.76,3.8,3.58,3.6,2.565692,197000
13-10-1999,3.6,3.78,3.6,3.71,2.644089,102500
14-10-1999,3.6,3.8,3.58,3.6,2.565692,164000
15-10-1999,3.6,3.6,3.4,3.41,2.430282,135500
18-10-1999,3.7,3.7,3.45,3.52,2.508678,58500
19-10-1999,3.52,3.52,3.52,3.52,2.508678,0
20-10-1999,3.6,3.7,3.6,3.61,2.572819,83000
21-10-1999,3.79,3.79,3.56,3.6,2.565692,44500
22-10-1999,3.62,3.68,3.46,3.46,2.465916,90500
25-10-1999,3.8,3.8,3.52,3.57,2.544312,77500
26-10-1999,3.6,3.6,3.45,3.55,2.530058,56000
27-10-1999,3.51,3.67,3.51,3.59,2.558566,26500
28-10-1999,3.5,3.6,3.5,3.54,2.522931,19000
29-10-1999,3.5,3.55,3.36,3.49,2.487297,101000
01-11-1999,3.4,3.42,3.3,3.34,2.380393,13500
02-11-1999,3.3,3.5,3.2,3.25,2.316251,170500
03-11-1999,3.35,3.35,3.24,3.24,2.309124,18000
04-11-1999,3.37,3.48,3.2,3.2,2.280616,114500
05-11-1999,3.25,3.25,3.13,3.15,2.244981,39000
08-11-1999,3.15,3.15,3.15,3.15,2.244981,0
09-11-1999,3.28,3.28,3.2,3.28,2.337631,11500
10-11-1999,3.28,3.28,3.28,3.28,2.337631,0
11-11-1999,3.25,3.3,3.23,3.26,2.323378,10000
12-11-1999,3.25,3.35,3.23,3.3,2.351886,50000
15-11-1999,3.25,3.25,3.2,3.25,2.316251,31500
16-11-1999,3.2,3.25,3.2,3.24,2.309124,36000
17-11-1999,3.35,3.35,3.2,3.25,2.316251,11500
18-11-1999,3.2,3.25,3.2,3.21,2.287743,11000
19-11-1999,3.2,3.21,3.16,3.2,2.280616,17500
22-11-1999,3.25,3.25,3.2,3.2,2.280616,51500
23-11-1999,3.2,3.2,3.2,3.2,2.280616,0
24-11-1999,3.2,3.25,3.18,3.23,2.301996,24500
25-11-1999,3.18,3.24,3.18,3.21,2.287743,31500
26-11-1999,3.3,3.46,3.3,3.35,2.38752,46000
29-11-1999,3.4,3.4,3.33,3.33,2.373266,52500
30-11-1999,3.4,3.4,3.26,3.29,2.344758,20000
01-12-1999,3.4,3.45,3.2,3.36,2.394646,37000
02-12-1999,3.34,3.5,3.34,3.43,2.444535,42500
03-12-1999,3.52,3.78,3.46,3.7,2.636962,177000
06-12-1999,4.6,4.62,4.39,4.62,3.29264,536000
07-12-1999,4.95,4.98,4.9,4.97,3.542081,1009500
08-12-1999,5.2,5.3,4.6,4.6,3.278385,937000
09-12-1999,4.26,4.76,4.25,4.56,3.249878,262500
10-12-1999,4.3,4.59,4.2,4.3,3.064578,313000
13-12-1999,4.39,4.64,4.39,4.56,3.249878,316000
14-12-1999,4.5,4.59,4.39,4.4,3.135847,361500
15-12-1999,4.12,4.64,4.12,4.48,3.192862,181000
16-12-1999,4.7,4.83,4.59,4.82,3.435178,664500
17-12-1999,4.83,5.2,4.83,5.2,3.706,360000
20-12-1999,5.61,5.61,5.6,5.61,3.998204,125500
21-12-1999,6,6.03,5.38,5.6,3.991078,1321500
22-12-1999,5.4,5.65,5.18,5.33,3.798651,425000
23-12-1999,5.32,5.57,4.95,5.03,3.584843,453500
24-12-1999,5,5.17,4.63,4.63,3.299766,376500
27-12-1999,4.6,4.66,4.4,4.57,3.257005,129000
28-12-1999,4.45,4.92,4.45,4.82,3.435178,128000
29-12-1999,4.7,4.88,4.52,4.79,3.413797,150500
30-12-1999,4.65,4.95,4.59,4.8,3.420923,187000
31-12-1999,4.8,4.8,4.8,4.8,3.420923,0
03-01-2000,5.1,5.18,5.1,5.18,3.691747,82500
04-01-2000,5.4,5.51,5.08,5.38,3.834285,494000
05-01-2000,5.01,5.42,5,5.24,3.734509,383000
06-01-2000,5.3,5.3,5,5.11,3.641859,164500
07-01-2000,5,5.22,4.8,4.86,3.463685,149000
10-01-2000,5.15,5.24,5,5.01,3.570589,214000
11-01-2000,5,5.1,4.62,4.76,3.392416,174000
12-01-2000,4.74,4.9,4.72,4.78,3.406671,85000
13-01-2000,4.8,4.9,4.7,4.72,3.363909,75500
14-01-2000,4.63,4.72,4.6,4.68,3.3354,83000
17-01-2000,5,5.05,5,5.05,3.599097,258500
18-01-2000,5.3,5.3,4.95,5.03,3.584843,249500
19-01-2000,5.2,5.2,5,5.1,3.634732,126000
20-01-2000,5.1,5.18,4.8,4.86,3.463685,197000
21-01-2000,4.8,5,4.8,4.98,3.549208,270500
24-01-2000,5.1,5.36,4.98,5.04,3.59197,381000
25-01-2000,4.98,5.1,4.94,4.96,3.534955,305500
26-01-2000,4.96,4.96,4.96,4.96,3.534955,0
27-01-2000,4.9,5.35,4.9,5.32,3.791524,391000
28-01-2000,5.51,5.74,5.4,5.74,4.090855,338000
31-01-2000,6.18,6.19,6.18,6.19,4.411566,372500
01-02-2000,6.58,6.68,6.58,6.68,4.760786,72000
02-02-2000,7.21,7.21,7.21,7.21,5.138514,26500
03-02-2000,7.78,7.78,7.78,7.78,5.544747,71000
